id,REN_1,REN_2,REN_3,REN_4,REN_5,REN_6,REN_7,REN_Year,REN_COUNT
295,,,,,,,,,0
296,,,,,,,,,0
297,,,,,,,,,0
298,,,,,,,,,0
299,,,,,,,,,0
300,,,,,,,,,0
301,,,,,,,,,0
302,,,,,,,,,0
303,,,,,,,,,0
304,,,,,,,,,0
305,,,,,,,,,0
306,,,,,,,,,0
307,1,1,1,0,0,1,,2011,4
308,,,,,,,,,0
309,1,0,0,1,0,0,,2022,2
310,0,1,0,0,0,0,1,2022,2
311,1,1,0,0,0,0,,2014,2
312,1,1,0,1,1,1,0,vor 2010,5
313,0,1,0,0,0,0,,,1
314,0,1,0,0,0,1,1,2021,3
315,1,1,0,0,1,1,,2012,4
316,1,1,0,1,0,1,,2016,4
317,1,1,0,0,1,1,,2020,4
318,1,1,0,1,1,0,0,2016,4
319,1,1,0,0,0,1,,2018,3
320,0,1,0,0,0,1,0,2018,2
321,,,,,,,,,0
322,,,,,,,,,0
323,0,1,0,0,0,0,0,2021,1
324,1,1,1,0,1,1,,2021,5
325,,,,,,,,,0
326,0,1,0,0,0,0,,2022,1
327,,,,,,,,,0
328,1,1,1,0,1,1,0,,5
329,0,0,0,0,0,0,,2010,0
330,1,1,0,0,0,1,,2019,3
331,1,0,0,0,0,0,,2017,1
332,1,1,0,0,0,0,0,,2
333,0,0,0,0,0,0,0,vor 2010,0
334,1,0,0,0,1,1,0,2012,3
335,1,0,0,0,0,0,1,2018,2
336,,,,,,,,,0
337,1,1,0,1,0,0,1,2022,4
338,,,,,,,,,0
339,,,,,,,,,0
340,,,,,,,,,0
341,,,,,,,,,0
342,,,,,,,,,0
343,,,,,,,,,0
344,,,,,,,,,0
345,,,,,,,,,0
346,,,,,,,,,0
347,,,,,,,,,0
348,,,,,,,,,0
349,,,,,,,,,0
350,,,,,,,,,0
351,,,,,,,,,0
352,,,,,,,,,0
353,1,0,0,0,0,1,1,2022,3
354,0,0,0,0,0,0,0,2020,0
355,1,1,0,0,0,0,,2015,2
356,1,1,0,0,0,0,1,2021,3
357,1,1,0,1,1,1,1,2022,6
358,,,,,,,,,0
359,,,,,,,,,0
360,,,,,,,,,0
361,1,1,1,0,0,0,1,2020,4
362,,,,,,,,,0
363,,,,,,,,,0
364,1,0,0,0,1,0,1,2021,3
365,0,1,0,0,0,0,0,2022,1
366,,,,,,,,,0
367,1,1,1,0,0,1,,2017,4
368,1,1,0,1,0,1,,2016,4
369,,,,,,,,,0
370,1,1,0,0,0,1,1,2018,4
371,0,0,0,1,1,1,1,,4
372,1,1,1,1,0,1,,2012,5
373,,,,,,,,,0
374,1,1,0,1,1,1,,vor 2010,5
375,1,1,1,0,0,1,,2019,4
376,1,0,0,0,0,0,,2022,1
377,0,0,0,0,0,0,,2018,0
378,,,,,,,,,0
379,,,,,,,,,0
380,0,1,0,1,1,0,0,,3
381,0,0,0,0,0,1,,2020,1
382,1,1,0,0,0,1,1,2022,4
383,,,,,,,,,0
384,,,,,,,,,0
385,0,0,0,1,1,1,1,2022,4
386,0,1,0,1,1,0,,2020,3
387,0,1,1,0,0,0,,vor 2010,2
388,0,1,0,0,0,1,,2021,2
389,,,,,,,,,0
390,,,,,,,,,0
391,0,1,0,0,0,0,1,2012,2
392,,,,,,,,,0
393,,,,,,,,,0
394,1,0,0,1,0,0,,2016,2
395,,,,,,,,,0
396,,,,,,,,,0
397,1,1,1,1,0,1,1,2021,6
398,,,,,,,,,0
399,1,0,0,0,0,0,1,2014,2
400,,,,,,,,,0
401,,,,,,,,,0
402,,,,,,,,,0
403,,,,,,,,,0
404,,,,,,,,,0
405,,,,,,,,,0
406,,,,,,,,,0
407,0,1,1,0,0,1,0,2014,3
408,,,,,,,,,0
409,0,0,0,0,1,0,,2018,1
410,,,,,,,,,0
411,1,1,0,0,1,0,1,,4
412,0,0,0,1,1,1,0,2022,3
413,,,,,,,,,0
414,0,1,0,1,0,1,,,3
415,,,,,,,,,0
416,,,,,,,,,0
417,,,,,,,,,0
418,,,,,,,,,0
419,,,,,,,,,0
420,,,,,,,,,0
421,,,,,,,,,0
422,1,1,0,0,0,1,,2022,3
423,1,1,0,0,0,0,1,,3
424,1,1,0,1,1,1,,2011,5
425,,,,,,,,,0
426,,,,,,,,,0
427,1,1,0,0,0,0,1,2021,3
428,0,0,0,0,0,0,,2013,0
429,0,1,1,0,0,0,,2019,2
430,1,0,0,0,0,0,1,vor 2010,2
431,1,1,0,1,1,1,0,2018,5
432,1,1,1,0,1,1,,2022,5
433,0,1,1,0,0,0,1,2018,3
434,,,,,,,,,0
435,1,0,0,0,0,0,,2021,1
436,0,1,0,0,0,1,,2022,2
437,1,0,0,0,1,0,1,,3
438,,,,,,,,,0
439,1,0,0,0,0,0,,2021,1
440,,,,,,,,,0
441,1,1,0,0,0,1,,2021,3
442,1,1,0,1,1,1,,,5
443,1,1,1,0,0,0,1,,4
444,,,,,,,,,0
445,,,,,,,,,0
446,,,,,,,,,0
447,,,,,,,,,0
448,,,,,,,,,0
449,,,,,,,,,0
450,,,,,,,,,0
451,,,,,,,,,0
452,,,,,,,,,0
453,,,,,,,,,0
454,,,,,,,,,0
455,1,1,0,0,0,0,,,2
456,1,1,0,1,0,1,1,vor 2010,5
457,,,,,,,,,0
458,,,,,,,,,0
459,1,1,0,0,0,1,,2020,3
460,,,,,,,,,0
461,1,1,0,0,0,1,,2010,3
462,,,,,,,,,0
463,,,,,,,,,0
464,1,1,0,0,1,1,,,4
465,,,,,,,,,0
466,1,1,0,0,0,1,,2020,3
467,1,0,0,1,1,1,,2022,4
468,1,1,0,0,1,1,,2022,4
469,1,1,0,0,1,1,,2016,4
470,1,1,1,0,0,1,,,4
471,1,1,1,0,0,1,,2021,4
472,0,1,0,0,0,0,,2016,1
473,1,1,0,0,0,1,,,3
474,,,,,,,,,0
475,,,,,,,,,0
476,,,,,,,,,0
477,0,1,0,0,0,0,,2022,1
478,1,0,0,0,0,0,,2021,1
479,0,1,0,1,1,1,,2018,4
480,0,1,1,0,1,1,0,2020,4
481,1,1,1,0,0,0,0,2013,3
482,1,1,1,0,0,1,1,2018,5
483,1,1,0,0,1,1,,2019,4
484,,,,,,,,,0
485,,,,,,,,,0
486,0,1,1,0,0,1,,2022,3
487,1,1,0,0,0,0,0,2019,2
488,1,1,1,0,1,0,1,2022,5
489,1,1,0,0,1,0,0,2022,3
490,,,,,,,,,0
491,1,1,0,0,0,0,,2017,2
492,,,,,,,,,0
493,,,,,,,,,0
494,0,1,0,0,1,1,,,3
495,,,,,,,,,0
496,,,,,,,,,0
497,,,,,,,,,0
498,,,,,,,,,0
499,,,,,,,,,0
500,,,,,,,,,0
501,,,,,,,,,0
502,,,,,,,,,0
503,,,,,,,,,0
504,,,,,,,,,0
505,,,,,,,,,0
506,0,0,0,1,1,0,,2019,2
507,1,1,0,0,0,0,0,2022,2
508,1,1,1,0,0,1,,2013,4
509,1,1,1,1,1,0,1,2021,6
510,,,,,,,,,0
511,0,1,0,0,0,1,,2021,2
512,0,1,0,0,0,1,,2021,2
513,,,,,,,,,0
514,,,,,,,,,0
515,,,,,,,,,0
516,,,,,,,,,0
517,,,,,,,,,0
518,,,,,,,,,0
519,1,0,1,0,1,0,,,3
520,1,1,0,0,1,1,1,2012,5
521,,,,,,,,,0
522,1,1,1,1,0,0,,2021,4
523,,,,,,,,,0
524,,,,,,,,,0
525,0,1,1,1,1,0,0,2021,4
526,0,1,0,0,1,0,,2018,2
527,,,,,,,,,0
528,1,1,0,1,1,1,,2017,5
529,,,,,,,,,0
530,,,,,,,,,0
531,,,,,,,,,0
532,,,,,,,,,0
533,,,,,,,,,0
534,1,0,0,0,0,0,1,2020,2
535,,,,,,,,,0
536,,,,,,,,,0
537,,,,,,,,,0
538,,,,,,,,,0
539,,,,,,,,,0
540,1,1,0,1,0,0,1,2021,4
541,,,,,,,,,0
542,1,1,0,0,0,0,1,2018,3
543,,,,,,,,,0
544,,,,,,,,,0
545,,,,,,,,,0
546,0,1,0,0,0,0,0,2022,1
547,,,,,,,,,0
548,,,,,,,,,0
549,1,1,0,0,0,0,,2021,2
550,,,,,,,,,0
551,,,,,,,,,0
552,,,,,,,,,0
